1,P,AMD310,MINI PROJECT,3.0,0,0,6,MURALI CHOLEMARI,0,
2,P,AMD811,MAJOR PROJECT PART-I,6.0,0,0,12,RAJESH PRASAD,0,CORE
3,P,AMD812,MAJOR PROJECT PART-II,12.0,0,0,24,RAJESH PRASAD,0,CORE
4,P,AMD813,MAJOR PROJECT PART-I,6.0,0,0,12,BALAJI SRINIVASAN,0,CORE
5,P,AMD814,MAJOR PROJECT PART-II,12.0,0,0,24,BALAJI SRINIVASAN,0,CORE
6,P,AMD895,MAJOR PROJECT,40.0,0,0,80,MALOY SINGHA,0,
7,P,AMD897,MINOR PROJECT,4.0,0,0,8,MALOY SINGHA,0,CORE
8,P,AMD899,DESIGN PROJECT,10.0,0,0,20,R VIJAYAKUMAR,0,CORE
9,AM,AML100,ENGINEERING MECHANICS,4.0,3,1,0,MALOY SINGHA,0,
10,AP,AML100,ENGINEERING MECHANICS,4.0,3,1,0,VIKRANT TIWARI,0,
11,H,AML701,"ENGG MATHEMATICS & MECHANICS",3.0,3,0,0,P K SEN,0,CORE
12,F,AML702,APPLIED COMPUTATIONAL METHOD,4.0,3,0,2,SUHAIL AHMED,0,CORE
13,B,AML705,FINITE ELEMENT METHODS,4.0,3,0,2,AJEET KUMAR,0,CORE
14,B,AML710,COMPUTER AIDED DESIGN,4.0,3,0,2,SRIRAM HEGDE,0,CORE
15,E,AML711,ADVANCED FLUID MECHANICS,4.0,3,1,0,SAWAN SUMAN,0,CORE
16,E,AML713,APPLIED FLUID DYNAMICS,4.0,3,1,0,SAWAN SUMAN,0,CORE
17,D,AML715,VISCOUS FLUID FLOWS,3.0,3,0,0,SANJEEV SANGHI,0,CORE
18,C,AML731,APPLIED ELASTICITY,4.0,3,1,0,ANAMIKA PRASAD,0,CORE
19,C,AML732,SOLID MECHANICS,3.0,3,0,0,ANAMIKA PRASAD,0,CORE
20,D,AML733,DYNAMICS,3.0,3,0,0,S PRADYUMNA,0,CORE
21,D,AML734,ADVANCED DYNAMICS,4.0,3,1,0,S PRADYUMNA,0,CORE
22,B,AML750,MODERN ENGINEERING MATERIALS,3.0,3,0,0,JAYANT JAIN,0,CORE
23,B,AML751,MATERIALS FOR MARINE VEHICLES,3.0,3,0,0,JAYANT JAIN,0,CORE
24,F,AML771,DECISION THEORY & DESIGN OPTIMIZATION,3.0,3,0,0,SANTOSH KAPURIA,0,CORE
25,D,AML773,MODELLING AND ANALYSIS,3.0,3,0,0,SANJEEV SANGHI,0,CORE
26,E,AML775,DESIGN METHODS,3.0,3,0,0,D K SEHGAL,0,CORE
27,D,AML791,SHIP RESISTANCE & PROPULSION,3.0,3,0,0,R VIJAYAKUMAR,0,CORE
28,F,AML792,STRUCTURAL DESIGN OF SHIPS,3.0,3,0,0,R VIJAYAKUMAR,0,CORE
29,B,AML794,WARSHIP DESIGN,3.0,3,0,0,P KULKARNI,0,CORE
30,F,AML805,ADVANCED FINITE ELEMENT METHODS,3.0,3,0,0,AJEET KUMAR,0,
31,B,AML820,ADVANCES IN FLUID ENGINEERING,3.0,3,0,0,ANUPAM DEWAN,0,
32,H,AML851,FRACTURE MECHANICS,3.0,3,0,0,R K PANDEY,0,
33,D,AMP772,FEASIBILITY STUDY,3.0,1,0,4,D K SEHGAL,0,CORE
34,A,AMP776,PRODUCT DESIGN,3.0,1,0,4,S N SINGH,0,CORE
35,P,AMS801,INDEPENDENT STUDT,3.0,0,3,0,RAJESH PRASAD,0,
36,P,AMS802,INDEPENDENT STUDY,3.0,0,3,0,BALAJI SRINIVASAN,0,
37,P,ASC861,ATMOSPHERIC SCIENCE COLLOQUIUM,1.0,0,1,0,S K DASH,0,CORE
38,P,ASD891,MAJOR PROJECT PART-I,6.0,0,0,12,KRISHNA ACHUTARAO,0,CORE
39,F,ASL310,FUNDAMENTALS OF ATMOSPHERE AND OCEAN,4.0,3,0,2,SAGNIK DEY,0,
40,H,ASL410,NUMERICAL SIMULATION OF ATMOSPHERIC AND OCEANIC PH,4.0,3,0,2,SAROJ MISHRA,0,
41,C,ASL701,DYNAMICS OF ATMOSPHERE AND OCEAN,3.0,3,0,0,MAITHILI SHARAN,0,CORE
42,E,ASL703,PHYSICS OF ATMOSPHERE AND OCEAN,3.0,3,0,0,MANJU MOHAN,0,CORE
43,B,ASL705,BOUNDARY LAYER METEOROLOGY AND AIR POLLUTION,3.0,3,0,0,Somnath Roy,0,CORE
44,D,ASL707,MATHEMATICAL & STATISTICAL METHODS IN ATMOSPHERIC,3.0,3,0,0,DILIP GANGULY,0,
45,H,ASL710,ATMOSHPHERIC PHYSICS,3.0,3,0,0,PRAMILA GOEL,0,
46,J,ASL715,SCIENCE OF CLIMATE CHANGE,4.0,3,0,2,KRISHNA ACHUTARAO,0,
47,E,ASL803,ADVANCED DYNAMIC OCEANOGRAPHY,3.0,3,0,0,A D RAO,0,
48,K,ASL870,PHYSICAL OCEANOGRAPHY,3.0,3,0,0,VIMLESH PANT,0,
49,P,ASP751,SIMULATION LAB-I: WHETHERANALYSIS & FORECASTING,2.0,0,0,4,POORNIMA AGARWAL,0,CORE
50,P,ASP801,SIMULATION LAB-III OCEAN-ATMOSPHERE FORECAST METH,3.0,0,1,4,H C UPADHYAYA,0,CORE
51,F,ASV887,Spl Mod-Numerical Weather prd,1.0,1,0,0,S K DASH,0,
52,P,BEC450,COLLOQUIUM (BB),3.0,0,3,0,RITU KULSHRESTH A,0,CORE
53,P,BED800,MAJOR PROJECT,40.0,0,0,80,D SUNDAR,0,
54,P,BED851,MAJOR PROJECT PART 1 (BB),6.0,0,0,12,RITU KULSHRESTH A,0,CORE
55,P,BED852,MAJOR PROJECT PART 2 (BB),14.0,0,0,28,RITU KULSHRESTH A,0,CORE
56,P,BED853,MAJOR PROJECT PART 1 (BB),4.0,0,0,8,RITU KULSHRESTH A,0,CORE
57,P,BED854,MAJOR PROJECT PART 2 (BB),16.0,0,0,32,RITU KULSHRESTH A,0,CORE
58,C,BEL110,MOLECULAR CELL BIOLOGY,3.0,3,0,0,SHILPI SHARMA,0,
59,C,BEL301,BIOPROCESS ENGINEERING,3.0,3,0,0,ATUL NARANG,0,CORE
60,E,BEL403,ENZYME ENGINEERING AND TECHNOLOGY,4.0,3,0,2,RAVI ELANGOVAN,0,CORE
61,H,BEL412,IMMUNOLOGY,4.0,3,0,2,RITU KULSHRESTH A,0,
62,H,BEL413,MODELLING AND SIMULATION OF BIOPROCESSES,4.0,3,0,2,A K SRIVASTAVA,0,
63,C,BEL701,BIOTECHNOLOGY RESOURCE PLANNING AND IPR ISSUES,2.0,2,0,0,T R SREEKRISHN AN,0,CORE
64,J,BEL714,PROTEIN SCIENCE AND ENGINEERING,3.0,3,0,0,SAROJ MISHRA,0,
65,D,BEL715,BIOLOGICAL WASTE TREATMENT,4.0,3,0,2,T R SREEKRISHN AN,0,
66,D,BEL722,GENOMICS AND PROTEOMICS,3.0,3,0,0,D SUNDAR,0,
67,H,BEL810,ENZYME AND MICROBIAL TECHNOLOGY,3.0,3,0,0,SUBHASH CHAND,0,
68,J,BEL820,DOWNSTREAM PROCESSING,3.0,3,0,0,SUNIL NATH,0,
69,E,BEL830,MICROBIAL BIOCHEMISTRY,3.0,3,0,0,SAROJ MISHRA,0,
70,F,BEL850,ADVANCED BIOCHEMICAL ENGINEERING,5.0,3,0,4,SHAIKH AHAMMAD,0,
71,NP,BEN150,INTRO TOBO CHEM.&BO TEC HNOLOHY,2.0,0,0,4,T R SREEKRISHN AN,0,CORE
72,F,BEP303,DESIGN OF BIOPROCESSES,2.5,0,1,3,RAVI ELANGOVAN,0,CORE
73,P,BEP840,LAB TECH IN MICROBIAL BIOCHEMISTRY,2.0,0,0,4,PRASHANT MISHRA,0,
74,P,BER350,PROFESSIONAL PRACTICES (BB),2.0,0,1,2,V S BISARIA,0,
75,P,BES350,INDEPENDENT STUDY (BB),3.0,0,3,0,V S BISARIA,0,
76,P,BET450,PRACTICAL TRAINING,0.0,0,0,0,ATUL NARANG,0,CORE
77,M,CEC410,COLLOQUIUM (CE),3.0,0,3,0,BABU J ALAPPAT,0,CORE
78,P,CED310,MINI PROJECT (CE),3.0,0,0,6,N K GARG,0,
79,P,CED411,MAJOR PROJECT PART 1 (CE),3.0,0,0,6,N K GARG,0,CORE
80,P,CED412,MAJOR PROJECT PART 2 (CE),7.0,0,0,14,N K GARG,0,
81,P,CED701,MINOR PROJECT,3.0,0,0,6,TANUSREE CHAKRABORT Y,0,CORE
82,P,CED760,MINOR PROJECT IN ROCK ENGG UNDER GROUND STRUCTURE,3.0,0,0,6,R AYOTHIRAMA N,0,
83,P,CED811,MAJOR PROJECT PART-I,6.0,0,0,12,TANUSREE CHAKRABORT Y,0,CORE
84,P,CED820,MAJOR PROJECT PART - I,6.0,0,0,12,GURMAIL BENIPAL,0,
85,P,CED821,MAJOR PROJECT PART - I,6.0,0,0,12,VASANT MATSAGAR,0,CORE
86,P,CED822,MAJOR PROJECT PART-II,12.0,0,0,24,VASANT MATSAGAR,0,CORE
87,P,CED841,MAJOR PROJECT PART-I,6.0,0,0,12,RAKESH KHOSA,0,CORE
88,P,CED842,MAJOR PROJECT PART-II,12.0,0,0,24,RAKESH KHOSA,0,CORE
89,P,CED851,MAJOR PROJECT PART-I,6.0,0,0,12,R AYOTHIRAMA N,0,CORE
90,P,CED852,MAJOR PROJECT PART-II,12.0,0,0,24,B BASHA,0,CORE
91,P,CED871,MAJOR PROJECT PART-I,6.0,0,0,12,ABHIJIT GANGULI,0,CORE
92,P,CED872,MAJOR PROJECT PART-II,12.0,0,0,24,ABHIJIT GANGULI,0,CORE
93,P,CED875,MAJOR PROJECT PART-I,6.0,0,0,12,SHASHANK BISHNOI,0,CORE
94,P,CED876,MAJOR PROJECT PART-II,12.0,0,0,24,SHASHANK BISHNOI,0,CORE
95,P,CED881,MAJOR PROJECT PART-I,6.0,0,0,12,GEETAM TEWARI,0,CORE
96,P,CED882,MAJOR PROJECT PART-II,12.0,0,0,24,GEETAM TEWARI,0,CORE
97,P,CED891,MAJOR PROJECT PART-I,6.0,0,0,12,ARUN KUMAR,0,CORE
98,P,CED892,MAJOR PROJECT PART-II,12.0,0,0,24,ARUN KUMAR,0,CORE
99,P,CED895,MAJOR PROJECT (CEY),40.0,0,0,80,A K JAIN,0,
100,E,CEL321,GEOTECHNICAL ENGINEERING,5.5,3,1,3,JAGDISH SHAHU,0,CORE
101,F,CEL331,STRUCTURAL ANALYSIS II,5.0,3,1,2,DIPTI RANJAN SAHOO,0,CORE
102,H,CEL339,CONCRETE TECHNLOGY AND MATERIALS,3.0,3,0,0,GURMAIL BENIPAL,0,
103,F,CEL422,ROCK ENGINEERING,3.0,3,0,0,VENKATA RAMANA,0,
104,F,CEL431,ADVANCED STRUCTURAL ANALYSIS,3.0,2,0,2,VASANT MATSAGAR,0,
105,H,CEL433,ADVANCED STRUCTURAL DESIGN,4.0,3,0,2,ALOK MADAN,0,
106,D,CEL442,TRAFFIC AND TRANSPORTATION PLANNING,3.0,2,1,0,RAMACHAND RA KALAGA,0,
107,H,CEL451,WATER POWER ENGINEERING,4.0,3,0,2,SUMEDHA CHAKMA,0,
108,D,CEL455,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,3.0,2,0,2,A K GOSAIN,0,
109,F,CEL459,RIVER MECHANICS,3.0,2,0,2,DEO KAUSHAL,0,
110,A,CEL701,ENGINEERING BEHAVIOUR OF SOILS,3.0,3,0,0,VENKATA RAMANA,0,CORE
111,B,CEL703,SITE INVESTIGATIONS AND GROUND IMPROVEMENT,3.0,3,0,0,MANOJ DATTA,0,CORE
112,D,CEL705,GEOENVIRONMENTAL ENGINEERING,3.0,3,0,0,JAGDISH SHAHU,0,CORE
113,A,CEL707,SOIL DYNAMICS AND GEOTECHNICAL EARTHQUAKE ENGG,3.0,3,0,0,R AYOTHIRAMA N,0,
114,B,CEL717,ADVANCED STRUCTURAL ANALYSIS,3.0,3,0,0,SURESH BHALLA,0,CORE
115,F,CEL719,STRUCTURAL DYNAMICS,3.0,3,0,0,VASANT MATSAGAR,0,CORE
116,A,CEL729,ADVANCED DESIGN OF BRIDGES,3.0,2,1,0,SUPRATIC GUPTA,0,
