S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
1,A,AML110,ENGINEERING MECHANICS,4,3,0,2,SANJEEV SANGHI,340
2,A,AMP776,PRODUCT DESIGN,3,1,0,4,S N SINGH,22
3,B,AML705,FINITE ELEMENT METHODS,4,3,0,2,BADRI PRASAD PATEL,26
4,B,AML150,MECHANICS OF SOLIDS & FLUIDS,5,3,1,2,MALOY KUMAR SINGHA,57
5,B,AML160,MECHANICS OF FLUIDS,4,3,1,0,S V VEERAVALLI,86
6,B,AML110,ENGINEERING MECHANICS,4,3,0,2,P K SEN,340
7,B,AML750,MODERN ENGINEERING MATERIALS,3,3,0,0,RAJESH PRASAD,48
8,B,AML710,COMPUTER AIDED DESIGN,4,3,0,2,SRIRAM HEGDE,88
9,B,AML794,WARSHIP DESIGN,3,3,0,0,MALOY KUMAR SINGHA,19
10,C,AML732,SOLID MECHANICS,3,3,0,0,MALOY KUMAR SINGHA,22
11,C,AML773,MODELLING AND ANALYSIS,3,3,0,0,ANUPAM DEWAN,24
12,C,AML772,FEASIBILITY STUDY,4,3,1,0,D K SEHGAL,70
13,C,AML731,APPLIED ELASTICITY,4,3,1,0,SANTOSH KAPURIA,24
14,D,AML734,ADVANCED DYNAMICS,4,3,1,0,SUHAIL AHMED,43
15,D,AML733,DYNAMICS,3,3,0,0,SUHAIL AHMED,17
16,D,AML140,MECHANICS OF SOLIDS,4,3,1,0,PUNEET MAHAJAN,83
17,D,AML791,SHIP RESISTANCE & PROPULSION,3,3,0,0,MALOY KUMAR SINGHA,19
18,D,AML715,VISCOUS FLUID FLOWS,3,3,0,0,BALAJI SRINIVASAN,17
19,D,AMP772,FEASIBILITY STUDY,3,1,0,4,D K SEHGAL,22
20,D,AML130,EXPERIMENTAL METHODS AND ANALYSIS,5,3,1,2,MURALI RAMAN CHOLEMARI,65
21,E,AML711,ADVANCED FLUID MECHANICS,4,3,1,0,V SESHADRI,25
22,E,AML120,MATERIALS SCIENCE,4,3,0,2,S K GUPTA,217
23,E,AML713,APPLIED FLUID DYNAMICS,4,3,1,0,V SESHADRI,26
24,E,AML775,DESIGN METHODS,3,3,0,0,D K SEHGAL,22
25,F,AML702,APPLIED COMPUTATIONAL METHOD,4,3,0,2,SUHAIL AHMED,25
26,F,AML792,STRUCTURAL DESIGN OF SHIPS,3,3,0,0,MALOY KUMAR SINGHA,19
27,F,AML805,ADVANCED FINITE ELEMENT METHODS,3,3,0,0,BADRI PRASAD PATEL,24
28,F,AML771,DECISION THEORY & DESIGN OPTIMIZATION,3,3,0,0,SANTOSH KAPURIA,22
29,H,AML701,ENGG MATHEMATICS & MECHANICS,3,3,0,0,BALAJI SRINIVASAN,24
30,H,AML820,ADVANCES IN FLUID ENGINEERING,3,3,0,0,V SESHADRI,9
31,H,AML851,FRACTURE MECHANICS,3,3,0,0,R K PANDEY,35
32,J,AML836,NON-LINEAR VIBRATION AND CHAOS,3,3,0,0,YOGENDRA NATH,9
33,P,AMD899,DESIGN PROJECT,10,0,0,20,MALOY KUMAR SINGHA,17
34,P,AMP777,PRODUCT DESIGN PROJECT II,2,0,0,4,S N SINGH,80
35,P,AMD811,MAJOR PROJECT PART-I,6,0,0,12,SANTOSH KAPURIA,20
36,P,AMD812,MAJOR PROJECT PART-II,12,0,0,24,SANTOSH KAPURIA,80
