1,A,AML110,ENGINEERING  MECHANICS,4,3,0,,S V VEERAVALLI,90
2,A,AML110,ENGINEERING  MECHANICS,4,3,0,,S V VEERAVALLI,90
3,A,AML110,ENGINEERING  MECHANICS,4,3,0,,S V VEERAVALLI,90
4,A,AMP776,PRODUCT DESIGN,3,1,0,,D K SEHGAL,90
5,B,AML705,FINITE ELEMENT METHODS,4,3,0,,BADRI PRASAD PATEL,100
6,B,AML160,MECHANICS OF FLUIDS,4,3,1,,SANJEEV SANGHI,120
7,B,AML150,MECHANICS OF SOLIDS & FLUIDS,5,3,1,,S N SINGH,100
8,B,AML751,MATERIALS FOR MARINE VEHICLES,3,3,0,,SANTOSH S HOSMANI,100
9,B,AML750,MODERN ENGINEERING MATERIALS,3,3,0,,SANTOSH S HOSMANI,100
10,B,AML710,COMPUTER AIDED DESIGN,4,3,0,,SRIRAM HEGDE,100
11,B,AML794,WARSHIP DESIGN,3,3,0,,BALAJI SRINIVASAN,100
12,C,AML732,SOLID MECHANICS,3,3,0,,S PRADYUMNA,100
13,C,AML773,MODELLING AND ANALYSIS,3,3,0,,P K SEN,100
14,C,AML731,APPLIED ELASTICITY,4,3,1,,SANTOSH KAPURIA,100
15,D,AML734,ADVANCED DYNAMICS,4,3,1,,SUHAIL AHMED,100
16,D,AML140,MECHANICS OF SOLIDS,4,3,1,,PUNEET MAHAJAN,100
17,D,AML791,SHIP RESISTANCE & PROPULSION,3,3,0,,BALAJI SRINIVASAN,100
18,D,AML715,VISCOUS FLUID FLOWS,3,3,0,,V SESHADRI,100
19,D,AMP772,FEASIBILITY STUDY,3,1,0,,D K SEHGAL,90
20,D,AML733,DYNAMICS,3,3,0,,SUHAIL AHMED,100
21,E,AML775,DESIGN METHODS,3,3,0,,D K SEHGAL,100
22,E,AML711,ADVANCED FLUID MECHANICS,4,3,1,,P K SEN,100
23,E,AML120,MATERIALS SCIENCE,4,3,0,,RAJESH PRASAD,90
24,E,AML713,APPLIED FLUID DYNAMICS,4,3,1,,P K SEN,100
